model,sampler,fold,tn,fp,fn,tp
ANN,ClusterCentroids,11,83,67,2,48
ANN,ClusterCentroids,12,107,43,10,40
ANN,ClusterCentroids,13,102,49,9,40
ANN,ClusterCentroids,14,106,45,14,35
ANN,ClusterCentroids,15,117,34,16,33
ANN,SMOTETomek,1,137,13,32,18
ANN,SMOTETomek,2,144,6,28,22
ANN,SMOTETomek,3,131,20,25,24
ANN,SMOTETomek,4,131,20,20,29
ANN,SMOTETomek,5,126,25,14,35
ANN,SMOTETomek,6,134,16,24,26
ANN,SMOTETomek,7,134,16,21,29
ANN,SMOTETomek,8,136,15,23,26
ANN,SMOTETomek,9,134,17,21,28
ANN,SMOTETomek,10,142,9,32,17
ANN,SMOTETomek,11,120,30,18,32
ANN,SMOTETomek,12,135,15,21,29
ANN,SMOTETomek,13,130,21,16,33
ANN,SMOTETomek,14,136,15,26,23
ANN,SMOTETomek,15,132,19,21,28
ANN,SMOTEENN,1,6,144,2,48
ANN,SMOTEENN,2,14,136,2,48
ANN,SMOTEENN,3,4,147,1,48
ANN,SMOTEENN,4,7,144,0,49
ANN,SMOTEENN,5,15,136,0,49
ANN,SMOTEENN,6,28,122,4,46
ANN,SMOTEENN,7,10,140,0,50
ANN,SMOTEENN,8,13,138,1,48
ANN,SMOTEENN,9,8,143,0,49
ANN,SMOTEENN,10,13,138,2,47
ANN,SMOTEENN,11,6,144,0,50
ANN,SMOTEENN,12,26,124,0,50
ANN,SMOTEENN,13,15,136,0,49
ANN,SMOTEENN,14,8,143,0,49
ANN,SMOTEENN,15,16,135,1,48
XGBoost,No Sampling,1,138,12,31,19
XGBoost,No Sampling,2,142,8,33,17
XGBoost,No Sampling,3,134,17,15,34
XGBoost,No Sampling,4,136,15,24,25
XGBoost,No Sampling,5,133,18,11,38
XGBoost,No Sampling,6,138,12,21,29
XGBoost,No Sampling,7,135,15,28,22
XGBoost,No Sampling,8,133,18,23,26
XGBoost,No Sampling,9,136,15,28,21
XGBoost,No Sampling,10,140,11,25,24
XGBoost,No Sampling,11,130,20,19,31
XGBoost,No Sampling,12,135,15,19,31
XGBoost,No Sampling,13,137,14,14,35
XGBoost,No Sampling,14,135,16,26,23
XGBoost,No Sampling,15,140,11,22,27
XGBoost,Cost Sensitive,1,133,17,18,32
XGBoost,Cost Sensitive,2,139,11,19,31
XGBoost,Cost Sensitive,3,126,25,14,35
XGBoost,Cost Sensitive,4,133,18,19,30
XGBoost,Cost Sensitive,5,126,25,6,43
XGBoost,Cost Sensitive,6,131,19,15,35
XGBoost,Cost Sensitive,7,129,21,18,32
XGBoost,Cost Sensitive,8,130,21,20,29
XGBoost,Cost Sensitive,9,132,19,14,35
XGBoost,Cost Sensitive,10,136,15,12,37
XGBoost,Cost Sensitive,11,126,24,18,32
XGBoost,Cost Sensitive,12,133,17,12,38
XGBoost,Cost Sensitive,13,133,18,10,39
XGBoost,Cost Sensitive,14,132,19,23,26
XGBoost,Cost Sensitive,15,135,16,16,33
XGBoost,RandomOverSampler,1,133,17,19,31
XGBoost,RandomOverSampler,2,140,10,25,25
XGBoost,RandomOverSampler,3,127,24,14,35
XGBoost,RandomOverSampler,4,136,15,16,33
XGBoost,RandomOverSampler,5,122,29,9,40
XGBoost,RandomOverSampler,6,133,17,14,36
XGBoost,RandomOverSampler,7,133,17,21,29
XGBoost,RandomOverSampler,8,129,22,16,33
XGBoost,RandomOverSampler,9,131,20,20,29
XGBoost,RandomOverSampler,10,135,16,16,33
XGBoost,RandomOverSampler,11,128,22,14,36
XGBoost,RandomOverSampler,12,133,17,14,36
XGBoost,RandomOverSampler,13,136,15,11,38
XGBoost,RandomOverSampler,14,134,17,18,31
XGBoost,RandomOverSampler,15,136,15,19,30
XGBoost,SMOTE,1,135,15,22,28
XGBoost,SMOTE,2,140,10,29,21
XGBoost,SMOTE,3,129,22,19,30
XGBoost,SMOTE,4,135,16,19,30
XGBoost,SMOTE,5,130,21,10,39
XGBoost,SMOTE,6,134,16,14,36
XGBoost,SMOTE,7,135,15,23,27
XGBoost,SMOTE,8,129,22,24,25
XGBoost,SMOTE,9,137,14,22,27
XGBoost,SMOTE,10,140,11,21,28
XGBoost,SMOTE,11,129,21,15,35
XGBoost,SMOTE,12,137,13,15,35
XGBoost,SMOTE,13,136,15,15,34
XGBoost,SMOTE,14,133,18,24,25
XGBoost,SMOTE,15,138,13,20,29
XGBoost,ADASYN,1,135,15,25,25
XGBoost,ADASYN,2,140,10,30,20
XGBoost,ADASYN,3,132,19,15,34
XGBoost,ADASYN,4,135,16,17,32
XGBoost,ADASYN,5,127,24,7,42
XGBoost,ADASYN,6,136,14,19,31
