model,sampler,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,fp_per_tp,train_time_sec,tn,fp,fn,tp
ANN,Cost Sensitive,8,0.6591974986972381,0.1226158038147139,0.9,0.2158273381294964,0.8332270478284772,0.18172081196140386,7.155555555555556,17.655054050000217,1175,644,10,90
ANN,Cost Sensitive,9,0.6548488008342023,0.1273209549071618,0.96,0.22482435597189696,0.8323652365236524,0.16002269653352158,6.854166666666667,16.410500715000126,1160,658,4,96
ANN,Cost Sensitive,10,0.7064650677789364,0.13312202852614896,0.84,0.22982216142270862,0.8473514851485149,0.2078046359196335,6.511904761904762,22.094862580000154,1271,547,16,84
ANN,Cost Sensitive,11,0.6456487754038561,0.12435233160621761,0.96,0.22018348623853212,0.8473172072567344,0.1934983049079893,7.041666666666667,18.15699155799939,1143,676,4,96
ANN,Cost Sensitive,12,0.648775403856175,0.11733333333333333,0.88,0.20705882352941177,0.8316410115448049,0.22188670328936597,7.5227272727272725,17.690101314000458,1157,662,12,88
ANN,Cost Sensitive,13,0.6779572694111516,0.13105413105413105,0.92,0.22942643391521197,0.8386613523914238,0.18763524052341032,6.630434782608695,16.783497139000247,1209,610,8,92
ANN,Cost Sensitive,14,0.6584984358706987,0.1285140562248996,0.96,0.22668240850059032,0.8324367436743674,0.17104009271078627,6.78125,18.085794003000046,1167,651,4,96
ANN,Cost Sensitive,15,0.6798748696558915,0.12968299711815562,0.9,0.22670025188916876,0.8523817381738175,0.19899396474017805,6.711111111111111,19.31749967900032,1214,604,10,90
ANN,RandomOverSampler,1,0.7097446586763939,0.141287284144427,0.9,0.24423337856173677,0.8435898845519516,0.16713210390824149,6.0777777777777775,29.55046521299937,1272,547,10,90
ANN,RandomOverSampler,2,0.7342365815528922,0.13392857142857142,0.75,0.22727272727272727,0.8186915887850467,0.1605127046273989,6.466666666666667,28.05022102299972,1334,485,25,75
ANN,RandomOverSampler,3,0.6915059927045336,0.125,0.82,0.21693121693121692,0.8287273227047828,0.17642757388208297,7.0,28.3529440049997,1245,574,18,82
ANN,RandomOverSampler,4,0.7122002085505735,0.12950819672131147,0.79,0.22253521126760564,0.81495599559956,0.1551807183504719,6.7215189873417724,28.616056552999908,1287,531,21,79
ANN,RandomOverSampler,5,0.6960375391032325,0.12558139534883722,0.81,0.2174496644295302,0.8249064906490648,0.16679724220632644,6.962962962962963,28.7053131699995,1254,564,19,81
ANN,RandomOverSampler,6,0.6701406982803544,0.11874105865522175,0.83,0.20775969962453067,0.8020368334249588,0.16178790251949543,7.421686746987952,28.787001216000135,1203,616,17,83
ANN,RandomOverSampler,7,0.686294945284002,0.12759643916913946,0.86,0.2222222222222222,0.8477927432655304,0.1953171486224995,6.837209302325581,27.44711831099994,1231,588,14,86
