model,sampler,fold,tn,fp,fn,tp
ANN,ClusterCentroids,5,1170,648,14,86
ANN,ClusterCentroids,6,1161,658,10,90
ANN,ClusterCentroids,7,1138,681,8,92
ANN,ClusterCentroids,8,1187,632,13,87
ANN,ClusterCentroids,9,1144,674,6,94
ANN,ClusterCentroids,10,1174,644,6,94
ANN,ClusterCentroids,11,1145,674,6,94
ANN,ClusterCentroids,12,1136,683,10,90
ANN,ClusterCentroids,13,1197,622,10,90
ANN,ClusterCentroids,14,1162,656,6,94
ANN,ClusterCentroids,15,1148,670,6,94
ANN,SMOTETomek,1,1349,470,23,77
ANN,SMOTETomek,2,1370,449,35,65
ANN,SMOTETomek,3,1358,461,30,70
ANN,SMOTETomek,4,1338,480,36,64
ANN,SMOTETomek,5,1359,459,32,68
ANN,SMOTETomek,6,1334,485,35,65
ANN,SMOTETomek,7,1361,458,22,78
ANN,SMOTETomek,8,1398,421,31,69
ANN,SMOTETomek,9,1306,512,26,74
ANN,SMOTETomek,10,1390,428,32,68
ANN,SMOTETomek,11,1312,507,33,67
ANN,SMOTETomek,12,1294,525,25,75
ANN,SMOTETomek,13,1377,442,29,71
ANN,SMOTETomek,14,1369,449,28,72
ANN,SMOTETomek,15,1342,476,24,76
ANN,SMOTEENN,1,1298,521,15,85
ANN,SMOTEENN,2,1303,516,23,77
ANN,SMOTEENN,3,1294,525,29,71
ANN,SMOTEENN,4,1262,556,22,78
ANN,SMOTEENN,5,1270,548,22,78
ANN,SMOTEENN,6,1262,557,25,75
ANN,SMOTEENN,7,1343,476,20,80
ANN,SMOTEENN,8,1277,542,22,78
ANN,SMOTEENN,9,1237,581,15,85
ANN,SMOTEENN,10,1360,458,24,76
ANN,SMOTEENN,11,1298,521,28,72
ANN,SMOTEENN,12,1246,573,18,82
ANN,SMOTEENN,13,1332,487,26,74
ANN,SMOTEENN,14,1288,530,20,80
ANN,SMOTEENN,15,1322,496,20,80
XGBoost,No Sampling,1,1810,9,98,2
XGBoost,No Sampling,2,1817,2,97,3
XGBoost,No Sampling,3,1810,9,99,1
XGBoost,No Sampling,4,1816,2,98,2
XGBoost,No Sampling,5,1816,2,99,1
XGBoost,No Sampling,6,1813,6,97,3
XGBoost,No Sampling,7,1814,5,100,0
XGBoost,No Sampling,8,1816,3,98,2
XGBoost,No Sampling,9,1817,1,100,0
XGBoost,No Sampling,10,1818,0,99,1
XGBoost,No Sampling,11,1815,4,99,1
XGBoost,No Sampling,12,1819,0,99,1
XGBoost,No Sampling,13,1815,4,99,1
XGBoost,No Sampling,14,1816,2,99,1
XGBoost,No Sampling,15,1811,7,99,1
XGBoost,Cost Sensitive,1,1447,372,27,73
