model,sampler,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,fp_per_tp,train_time_sec,tn,fp,fn,tp
ANN,No Sampling,1,0.785,0.6129032258064516,0.38,0.4691358024691358,0.8117333333333334,0.5416743575250369,0.631578947368421,5.112035289000232,138,12,31,19
ANN,No Sampling,2,0.805,0.7037037037037037,0.38,0.4935064935064935,0.8405333333333334,0.6766542069706598,0.42105263157894735,3.4433457579998503,142,8,31,19
ANN,No Sampling,3,0.78,0.5609756097560976,0.46938775510204084,0.5111111111111111,0.8160562238140289,0.5564312956113566,0.782608695652174,3.5000695700000506,133,18,26,23
ANN,No Sampling,4,0.835,0.7352941176470589,0.5102040816326531,0.6024096385542169,0.8309230977159074,0.6354974878103508,0.36,4.08335212899965,142,9,24,25
ANN,No Sampling,5,0.845,0.6730769230769231,0.7142857142857143,0.693069306930693,0.8379510744695229,0.5687240028571543,0.4857142857142857,3.5280884369994965,134,17,14,35
ANN,No Sampling,6,0.835,0.7575757575757576,0.5,0.6024096385542169,0.8572,0.6577591372369292,0.32,3.572663465000005,142,8,25,25
ANN,No Sampling,7,0.81,0.6363636363636364,0.56,0.5957446808510638,0.8281333333333334,0.594364532178886,0.5714285714285714,4.029924767999546,134,16,22,28
ANN,No Sampling,8,0.84,0.6976744186046512,0.6122448979591837,0.6521739130434783,0.8540343289633734,0.6655293030261205,0.43333333333333335,3.6009272149995013,138,13,19,30
ANN,No Sampling,9,0.79,0.5945945945945946,0.4489795918367347,0.5116279069767442,0.8459251250168942,0.5725364960509088,0.6818181818181818,3.5080214529998557,136,15,27,22
ANN,No Sampling,10,0.795,0.6428571428571429,0.3673469387755102,0.4675324675324675,0.837005000675767,0.5919957352964713,0.5555555555555556,3.878842486999929,141,10,31,18
ANN,No Sampling,11,0.79,0.5952380952380952,0.5,0.5434782608695652,0.8402666666666667,0.5413093332551213,0.68,4.440286172999549,133,17,25,25
ANN,No Sampling,12,0.84,0.725,0.58,0.6444444444444445,0.8506666666666667,0.6139137192458262,0.3793103448275862,3.5591315650008255,139,11,21,29
ANN,No Sampling,13,0.85,0.7317073170731707,0.6122448979591837,0.6666666666666666,0.8760643330179754,0.6731986785184239,0.36666666666666664,4.292050568000377,140,11,19,30
ANN,No Sampling,14,0.795,0.625,0.40816326530612246,0.49382716049382713,0.8276794161373159,0.5894529271891927,0.6,3.4811834480005928,139,12,29,20
ANN,No Sampling,15,0.825,0.7333333333333333,0.4489795918367347,0.5569620253164557,0.8183538315988648,0.6558892080453106,0.36363636363636365,3.410824763999699,143,8,27,22
ANN,Cost Sensitive,1,0.77,0.55,0.44,0.4888888888888889,0.7941333333333334,0.5389529571165705,0.8181818181818182,3.9201933959993767,132,18,28,22
ANN,Cost Sensitive,2,0.815,0.696969696969697,0.46,0.5542168674698795,0.8269333333333334,0.660357287470031,0.43478260869565216,3.6762660250005865,140,10,27,23
ANN,Cost Sensitive,3,0.755,0.5,0.6122448979591837,0.5504587155963303,0.804162724692526,0.5421814656484054,1.0,3.4608064169997306,121,30,19,30
ANN,Cost Sensitive,4,0.83,0.6923076923076923,0.5510204081632653,0.6136363636363636,0.8209217461819164,0.6311366910651846,0.4444444444444444,4.07828562099985,139,12,22,27
ANN,Cost Sensitive,5,0.805,0.5806451612903226,0.7346938775510204,0.6486486486486487,0.8309230977159074,0.5520445998231879,0.7222222222222222,3.6397974490000706,125,26,13,36
ANN,Cost Sensitive,6,0.815,0.6226415094339622,0.66,0.6407766990291263,0.8382666666666668,0.6159029849719148,0.6060606060606061,3.5375263050000285,130,20,17,33
ANN,Cost Sensitive,7,0.82,0.6346153846153846,0.66,0.6470588235294118,0.8234666666666667,0.5992639558697561,0.5757575757575758,5.0777364620007575,131,19,17,33
ANN,Cost Sensitive,8,0.845,0.6730769230769231,0.7142857142857143,0.693069306930693,0.8332207055007433,0.6246859151246574,0.4857142857142857,3.580421455999385,134,17,14,35
ANN,Cost Sensitive,9,0.82,0.6382978723404256,0.6122448979591837,0.625,0.836869847276659,0.6206821591505199,0.5666666666666667,3.50415533999967,134,17,19,30
ANN,Cost Sensitive,10,0.795,0.5909090909090909,0.5306122448979592,0.5591397849462365,0.8118664684416813,0.5479191787811485,0.6923076923076923,4.462473327000225,133,18,23,26
ANN,Cost Sensitive,11,0.8,0.5806451612903226,0.72,0.6428571428571429,0.8429333333333333,0.5568224696964024,0.7222222222222222,3.4483110369992573,124,26,14,36
ANN,Cost Sensitive,12,0.81,0.6153846153846154,0.64,0.6274509803921569,0.8326666666666667,0.6030321735905477,0.625,3.4343893670002217,130,20,18,32
ANN,Cost Sensitive,13,0.835,0.6818181818181818,0.6122448979591837,0.6451612903225806,0.8703878902554399,0.6833876874788637,0.4666666666666667,4.526294242999938,137,14,19,30
ANN,Cost Sensitive,14,0.8,0.6046511627906976,0.5306122448979592,0.5652173913043478,0.8224084335721044,0.5939413127869714,0.6538461538461539,3.4989295579998725,134,17,23,26
ANN,Cost Sensitive,15,0.8,0.6216216216216216,0.46938775510204084,0.5348837209302325,0.7968644411406948,0.5871229638513772,0.6086956521739131,3.5351833360000455,137,14,26,23
ANN,RandomOverSampler,1,0.76,0.53125,0.34,0.4146341463414634,0.7790666666666667,0.5264465117972345,0.8823529411764706,5.09440554000048,135,15,33,17
ANN,RandomOverSampler,2,0.795,0.6285714285714286,0.44,0.5176470588235295,0.8301333333333334,0.6345076106845777,0.5909090909090909,4.2811991830003535,137,13,28,22
